epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.958,0.83802,3.03693,0.87132,0.47829,0.8688,0.50533,0.3585,0.85293,1.23763,0.87281,0.00047184,0.00047184,0.00047184
2,237.985,0.84421,1.2168,0.86916,0.49978,0.93878,0.51022,0.37702,0.79931,1.06098,0.86875,0.000932528,0.000932528,0.000932528
3,280.797,0.83087,1.10356,0.87301,0.47148,0.90438,0.49212,0.36931,0.79798,1.15873,0.88395,0.0013775,0.0013775,0.0013775
4,410.7,0.79735,1.05665,0.8709,0.49149,0.92456,0.50113,0.39974,0.70069,1.04963,0.871,0.00135826,0.00135826,0.00135826
5,543.988,0.79025,1.02646,0.87683,0.49429,0.87475,0.51199,0.4047,0.70553,1.00203,0.86382,0.00133469,0.00133469,0.00133469
6,678.789,0.75113,0.99605,0.86543,0.48753,0.94211,0.51022,0.40499,0.70913,1.00684,0.8694,0.00131111,0.00131111,0.00131111
7,809.526,0.74011,0.99823,0.86709,0.49204,0.95404,0.518,0.41295,0.68107,0.95596,0.84777,0.00128753,0.00128753,0.00128753
8,946.16,0.7018,0.95989,0.84451,0.49333,0.98169,0.53666,0.44416,0.64978,0.94852,0.83885,0.00126395,0.00126395,0.00126395
9,997.143,0.66906,0.96143,0.84811,0.4894,0.97639,0.52376,0.42494,0.6124,1.08653,0.83782,0.00124037,0.00124037,0.00124037
10,1038.54,0.65572,0.93995,0.84168,0.49463,0.95927,0.52826,0.43939,0.64791,0.9323,0.8461,0.00121679,0.00121679,0.00121679
11,1080.07,0.63315,0.93215,0.82751,0.4914,0.9633,0.52669,0.44238,0.59154,1.10774,0.83368,0.00119322,0.00119322,0.00119322
12,1121.94,0.63784,0.93142,0.83918,0.49568,0.97949,0.51166,0.43866,0.56745,0.90141,0.82768,0.00116964,0.00116964,0.00116964
13,1163.89,0.60203,0.91114,0.82975,0.49535,0.96815,0.5422,0.44431,0.60191,0.88817,0.83043,0.00114606,0.00114606,0.00114606
14,1205.85,0.60712,0.91608,0.83635,0.50198,0.98478,0.54594,0.46195,0.55263,0.88557,0.8254,0.00112248,0.00112248,0.00112248
15,1247.91,0.59794,0.9184,0.83755,0.4954,0.9835,0.52294,0.4506,0.55122,0.88095,0.82578,0.0010989,0.0010989,0.0010989
16,1290.37,0.57616,0.90068,0.82617,0.50023,0.97888,0.54832,0.47664,0.5156,0.87383,0.81951,0.00107532,0.00107532,0.00107532
17,1332.6,0.55639,0.89232,0.8219,0.49974,0.98567,0.51335,0.44237,0.5215,0.89353,0.82149,0.00105174,0.00105174,0.00105174
